variable_x,variable_y,method,coefficient,raw_p_value,bh_adjusted_p_value,n
wheel_torque_fl,battery_soc_roll_std_50,pearson,0.04469996337689465,7.7610192600666377e-06,1.0583208081909052e-05,10000
wheel_torque_fl,cumulative_distance_m,pearson,-0.30096424256227072,1.9409567949870815e-208,7.8384793643709064e-208,10000
wheel_torque_fl,wheel_imbalance_score,pearson,-0.0027565616582773192,0.78283823339925185,0.82198014506921435,10000
wheel_torque_fl,lidar_saturation_rate,pearson,-0.067687651315893854,1.2381360323563747e-11,1.9118276970208727e-11,10000
wheel_torque_fl,composite_health_score,pearson,0.23244632980092991,8.7671565350821673e-123,2.7075042240694928e-122,10000
wheel_torque_fr,wheel_torque_rl,pearson,0.64928454278516212,0,0,10000
wheel_torque_fr,wheel_torque_rr,pearson,0.61232528221439875,0,0,10000
wheel_torque_fr,ambient_temp_c,pearson,0.13469913233844344,1.0412394225069521e-41,2.0246322104301846e-41,10000
wheel_torque_fr,battery_soc_roll_mean_50,pearson,0.30466132103107391,8.5293174916695344e-214,3.5823133465012045e-213,10000
wheel_torque_fr,battery_soc_roll_std_50,pearson,0.044604845310547758,8.1142259895440242e-06,1.0922996524386188e-05,10000
wheel_torque_fr,cumulative_distance_m,pearson,-0.30841096389068978,2.6134258952061108e-219,1.1433738291526734e-218,10000
wheel_torque_fr,wheel_imbalance_score,pearson,-0.13264274888750832,1.735477011125049e-40,3.3131833848750933e-40,10000
wheel_torque_fr,lidar_saturation_rate,pearson,-0.077704178940635582,7.183242879774134e-15,1.1603700036558216e-14,10000
wheel_torque_fr,composite_health_score,pearson,0.24158537426445426,9.1360593330291965e-133,2.9977694686502052e-132,10000
wheel_torque_rl,wheel_torque_rr,pearson,0.62513065807827073,0,0,10000
wheel_torque_rl,ambient_temp_c,pearson,0.1324652076001625,2.2080415999169895e-40,4.1400779998443552e-40,10000
wheel_torque_rl,battery_soc_roll_mean_50,pearson,0.30865049266262368,1.154054587180356e-219,5.2685100719103203e-219,10000
wheel_torque_rl,battery_soc_roll_std_50,pearson,0.045229946089101469,6.0468446879141962e-06,8.3541933188288235e-06,10000
wheel_torque_rl,cumulative_distance_m,pearson,-0.31259212325968644,1.4884705833644061e-225,7.1040641478755748e-225,10000
wheel_torque_rl,wheel_imbalance_score,pearson,-0.086624490741279897,4.0392002491357577e-18,6.7320004152262629e-18,10000
wheel_torque_rl,lidar_saturation_rate,pearson,-0.075428793168693747,4.2633558556825435e-14,6.7826115885858648e-14,10000
wheel_torque_rl,composite_health_score,pearson,0.24497127196789018,1.4226216559139139e-136,4.9791757956986989e-136,10000
wheel_torque_rr,ambient_temp_c,pearson,0.13135382692356867,9.8958619258754521e-40,1.7914922452015905e-39,10000
wheel_torque_rr,battery_soc_roll_mean_50,pearson,0.29582062877284965,4.0851041748489138e-201,1.4790894426177099e-200,10000
wheel_torque_rr,battery_soc_roll_std_50,pearson,0.048565119380131208,1.1811619114577265e-06,1.653626676040817e-06,10000
